,subject,subsample,chao2,species,shannon,num_h3,ratio,key
138,Kymouse 4,0.9,51603.0,Kymouse,10.726773496607509,46611,0.8604063255401989,cdr3_aa
139,Kymouse 4,1.0,51603.0,Kymouse,10.825943583339164,51603,0.9522078497222889,cdr3_aa
140,Kymouse 5,0.1,31760.143392767874,Kymouse,8.060517943102594,3172,0.09920075223319229,cdr3_aa
141,Kymouse 5,0.2,30787.38207959764,Kymouse,8.746929879210303,6324,0.19771195737345243,cdr3_aa
142,Kymouse 5,0.3,30658.753886010363,Kymouse,9.143816706049197,9412,0.29553361542078044,cdr3_aa
143,Kymouse 5,0.4,30562.69061791383,Kymouse,9.425417836950148,12531,0.3918508070835292,cdr3_aa
144,Kymouse 5,0.5,30568.885542168675,Kymouse,9.642718094513715,15592,0.4878859112991694,cdr3_aa
145,Kymouse 5,0.6,30558.74025974026,Kymouse,9.818229942779869,18596,0.5839210155148096,cdr3_aa
146,Kymouse 5,0.7,30560.052631578947,Kymouse,9.966364003825875,21645,0.6782322519981194,cdr3_aa
147,Kymouse 5,0.8,30560.0,Kymouse,10.09414780136808,24642,0.7717285691897822,cdr3_aa
148,Kymouse 5,0.9,30560.0,Kymouse,10.206037018171198,27601,0.8649114558846576,cdr3_aa
149,Kymouse 5,1.0,30560.0,Kymouse,10.305671744789532,30560,0.9578435981821031,cdr3_aa
150,Kymouse 6,0.1,74618.02795973247,Kymouse,8.951823503453069,7764,0.09890306350483341,cdr3_aa
151,Kymouse 6,0.2,73810.76622087802,Kymouse,9.631711952014395,15358,0.19638866541521408,cdr3_aa
152,Kymouse 6,0.3,72896.79547132661,Kymouse,10.025015667757348,22871,0.29189492906307063,cdr3_aa
153,Kymouse 6,0.4,72811.33088770312,Kymouse,10.300778568111244,30266,0.38616251005631536,cdr3_aa
154,Kymouse 6,0.5,72751.26457919151,Kymouse,10.512098983287082,37550,0.4797660549872939,cdr3_aa
155,Kymouse 6,0.6,72744.29824561403,Kymouse,10.683157348777037,44728,0.5712753323372792,cdr3_aa
156,Kymouse 6,0.7,72738.33333333333,Kymouse,10.828020918223025,51860,0.662656910444521,cdr3_aa
157,Kymouse 6,0.8,72738.125,Kymouse,10.950971644952727,58806,0.752467787866018,cdr3_aa
158,Kymouse 6,0.9,72738.0,Kymouse,11.059672114944158,65889,0.8412187615727439,cdr3_aa
159,Kymouse 6,1.0,72738.0,Kymouse,11.15544008616031,72738,0.9288587518676015,cdr3_aa
160,Kymouse 7,0.1,56206.264960075154,Kymouse,8.644358452606175,5698,0.09911775453738668,cdr3_aa
161,Kymouse 7,0.2,54735.77001250782,Kymouse,9.32672825464585,11327,0.19722623418657664,cdr3_aa
162,Kymouse 7,0.3,54413.412676172426,Kymouse,9.723683197990255,16877,0.2932813614770216,cdr3_aa
163,Kymouse 7,0.4,54247.8266192733,Kymouse,10.000377319952621,22355,0.3890580681086537,cdr3_aa
164,Kymouse 7,0.5,54212.790585129784,Kymouse,10.21558993562832,27764,0.4840865192197261,cdr3_aa
165,Kymouse 7,0.6,54208.472641509434,Kymouse,10.389417872627709,33198,0.5770790192632294,cdr3_aa
166,Kymouse 7,0.7,54210.72023809524,Kymouse,10.535005683688457,38436,0.6701063218890841,cdr3_aa
167,Kymouse 7,0.8,54210.0,Kymouse,10.661249497548976,43754,0.7620547444620391,cdr3_aa
168,Kymouse 7,0.9,54210.0,Kymouse,10.770551853000338,49015,0.8525414585762263,cdr3_aa
169,Kymouse 7,1.0,54210.0,Kymouse,10.868708199320208,54210,0.9433239946404023,cdr3_aa
170,Mouse 1,0.1,82907.69629424097,Mouse,9.058569603806935,8628,0.0989130934326026,cdr3_aa
171,Mouse 1,0.2,81387.9372256921,Mouse,9.740591657704378,17095,0.19652787352359943,cdr3_aa
172,Mouse 1,0.3,80958.0796323364,Mouse,10.135304171145778,25464,0.29238476032905925,cdr3_aa
173,Mouse 1,0.4,80745.56252683555,Mouse,10.410884800072187,33697,0.3870352497816995,cdr3_aa
174,Mouse 1,0.5,80738.03884075291,Mouse,10.62398099341043,41848,0.4802725309067512,cdr3_aa
175,Mouse 1,0.6,80745.05563186813,Mouse,10.795475298161946,49732,0.5722229881887955,cdr3_aa
176,Mouse 1,0.7,80740.3375,Mouse,10.93913094206118,57650,0.6626913001516613,cdr3_aa
177,Mouse 1,0.8,80740.0,Mouse,11.0627467402775,65445,0.7520106622546993,cdr3_aa
178,Mouse 1,0.9,80740.0,Mouse,11.170487342010729,73127,0.8403993749712763,cdr3_aa
179,Mouse 1,1.0,80740.0,Mouse,11.266222996544727,80740,0.9276621168252217,cdr3_aa
180,Mouse 2,0.1,39946.46091370558,Mouse,8.36433385810658,4316,0.0986359585989444,cdr3_aa
181,Mouse 2,0.2,39050.03726406774,Mouse,9.039132723823714,8514,0.19462151849567025,cdr3_aa
182,Mouse 2,0.3,38998.299291837495,Mouse,9.426147788362796,12598,0.2886192793657322,cdr3_aa
183,Mouse 2,0.4,38808.286090495574,Mouse,9.694960543456798,16644,0.3791669522699751,cdr3_aa
184,Mouse 2,0.5,38800.25234584451,Mouse,9.90233592939505,20521,0.46861790846985174,cdr3_aa
185,Mouse 2,0.6,38808.02602739726,Mouse,10.068471249389814,24330,0.5545730801745608,cdr3_aa
186,Mouse 2,0.7,38807.2,Mouse,10.205810819796604,28038,0.6397514108803436,cdr3_aa
187,Mouse 2,0.8,38808.0,Mouse,10.323305733484151,31770,0.7247012589393835,cdr3_aa
188,Mouse 2,0.9,38808.0,Mouse,10.42543283807439,35307,0.8057669020037929,cdr3_aa
189,Mouse 2,1.0,38808.0,Mouse,10.516030642343408,38808,0.8866954554801563,cdr3_aa
190,Mouse 3,0.1,61027.571235679214,Mouse,8.78827004212725,6602,0.09859028597910095,cdr3_aa
191,Mouse 3,0.2,60689.46967194441,Mouse,9.465266828443598,13038,0.19547635776538652,cdr3_aa
192,Mouse 3,0.3,60281.000342465755,Mouse,9.852406000835241,19354,0.2892529861121493,cdr3_aa
193,Mouse 3,0.4,60256.37857577602,Mouse,10.124678618158246,25505,0.38150479123376135,cdr3_aa
194,Mouse 3,0.5,60226.77936311001,Mouse,10.333882352822693,31649,0.4722317731302229,cdr3_aa
195,Mouse 3,0.6,60228.80672268908,Mouse,10.50038680753407,37510,0.5600884995440479,cdr3_aa
196,Mouse 3,0.7,60225.63043478261,Mouse,10.639471614094052,43278,0.6470333218722437,cdr3_aa
197,Mouse 3,0.8,60224.0,Mouse,10.759569477444042,49000,0.733694108501637,cdr3_aa
198,Mouse 3,0.9,60224.0,Mouse,10.863430591225299,54709,0.8183068482501906,cdr3_aa
199,Mouse 3,1.0,60224.0,Mouse,10.95572092706877,60224,0.9003034697202996,cdr3_aa
200,Mouse 4,0.1,17851.570473537606,Mouse,7.580849982460217,1967,0.09842205133326676,cdr3_aa
201,Mouse 4,0.2,17806.227449455677,Mouse,8.25435458383372,3913,0.19464695895336062,cdr3_aa
202,Mouse 4,0.3,17758.55766213389,Mouse,8.644367826685151,5768,0.28872465794467195,cdr3_aa
203,Mouse 4,0.4,17737.165870488323,Mouse,8.911054657468155,7576,0.37850793967841806,cdr3_aa
204,Mouse 4,0.5,17704.623395149785,Mouse,9.117484743699695,9415,0.46674323379606514,cdr3_aa
205,Mouse 4,0.6,17709.13157894737,Mouse,9.282087454956388,11101,0.5548786577449316,cdr3_aa
206,Mouse 4,0.7,17711.015625,Mouse,9.420272015415676,12787,0.6387695995206232,cdr3_aa
207,Mouse 4,0.8,17711.0,Mouse,9.537496217564192,14491,0.7233096973933886,cdr3_aa
208,Mouse 4,0.9,17711.0,Mouse,9.639658804864053,16080,0.8027064815739539,cdr3_aa
209,Mouse 4,1.0,17711.0,Mouse,9.72948612511505,17711,0.8844002796364726,cdr3_aa
210,Mouse 5,0.1,46776.56076198818,Mouse,8.511471576963032,4987,0.09866482049253289,cdr3_aa
211,Mouse 5,0.2,46071.98181264744,Mouse,9.186222428422074,9859,0.19485708634160814,cdr3_aa
212,Mouse 5,0.3,45679.509387755104,Mouse,9.576971936338099,14634,0.28936801503313225,cdr3_aa
213,Mouse 5,0.4,45644.29303772071,Mouse,9.849018337202777,19273,0.3825140935614677,cdr3_aa
214,Mouse 5,0.5,45594.35980551053,Mouse,10.056103141455262,23876,0.4725150825833251,cdr3_aa
215,Mouse 5,0.6,45594.38543897216,Mouse,10.224191421483761,28363,0.5622193650479675,cdr3_aa
216,Mouse 5,0.7,45594.45070422535,Mouse,10.36464174759254,32830,0.6496093363663337,cdr3_aa
217,Mouse 5,0.8,45594.0,Mouse,10.48387896217318,37122,0.7344080704183562,cdr3_aa
218,Mouse 5,0.9,45594.0,Mouse,10.587689220644181,41373,0.8182375630501434,cdr3_aa
219,Mouse 5,1.0,45594.0,Mouse,10.68032500828283,45594,0.9018692513104539,cdr3_aa
0,Human 1,0.1,36486.72498590755,Human,8.226571207417212,3746,0.0995961957388024,clone_id
1,Human 1,0.2,35940.47403027436,Human,8.911309243756182,7436,0.19805005047553265,clone_id
2,Human 1,0.3,35826.42943674285,Human,9.308888715537913,11119,0.2953881302800064,clone_id
3,Human 1,0.4,35702.1798870334,Human,9.589904600838135,14741,0.39184952978056425,clone_id
4,Human 1,0.5,35696.48521505376,Human,9.805258730593225,18329,0.48661070081292174,clone_id
5,Human 1,0.6,35697.0279329609,Human,9.980932117101744,21881,0.5809202486584135,clone_id
6,Human 1,0.7,35695.82653061225,Human,10.12807856347391,25368,0.6741937197810955,clone_id
7,Human 1,0.8,35695.0,Human,10.253889888462936,28841,0.7672015302056214,clone_id
8,Human 1,0.9,35695.0,Human,10.365128303896336,32310,0.8575792997183996,clone_id
9,Human 1,1.0,35695.0,Human,10.463307887459424,35695,0.9482758620689655,clone_id
10,Human 10,0.1,29928.873112033194,Human,8.045947510369166,3132,0.09929190613787191,clone_id
11,Human 10,0.2,29781.1875,Human,8.729898781958944,6217,0.19680563934842663,clone_id
12,Human 10,0.3,29642.633359013867,Human,9.12635184192698,9256,0.2943193725589814,clone_id
13,Human 10,0.4,29507.92266824085,Human,9.4060518426858,12261,0.389388117994475,clone_id
14,Human 10,0.5,29531.677822580645,Human,9.618851098281649,15222,0.48340901152637095,clone_id
15,Human 10,0.6,29523.204379562045,Human,9.792748526508793,18157,0.5773981519702791,clone_id
16,Human 10,0.7,29523.32051282051,Human,9.939011003073706,21059,0.6694821071349188,clone_id
17,Human 10,0.8,29523.0,Human,10.063415422511913,23900,0.7595338646683389,clone_id
18,Human 10,0.9,29523.0,Human,10.172491669337228,26734,0.8486647826501127,clone_id
19,Human 10,1.0,29523.0,Human,10.269402294992801,29523,0.9374464166640206,clone_id
20,Human 2,0.1,45841.41499888815,Human,8.456742879933934,4716,0.09940781016206192,clone_id
21,Human 2,0.2,45380.88320389828,Human,9.14133861105799,9374,0.19742471180797033,clone_id
22,Human 2,0.3,44811.51800442567,Human,9.538743975485119,14013,0.2945564898526901,clone_id
23,Human 2,0.4,44727.98082538447,Human,9.818490941868118,18562,0.3906766980674801,clone_id
24,Human 2,0.5,44713.27686852155,Human,10.033603884966931,23038,0.4842469073359887,clone_id
25,Human 2,0.6,44700.78920570265,Human,10.20754750902887,27467,0.5792501738635645,clone_id
26,Human 2,0.7,44705.4375,Human,10.352965093459959,31887,0.670712945986386,clone_id
27,Human 2,0.8,44705.0,Human,10.479036923168582,36197,0.7633980316537059,clone_id
28,Human 2,0.9,44705.0,Human,10.588701064038357,40475,0.8524793998019009,clone_id
29,Human 2,1.0,44705.0,Human,10.686271331910248,44705,0.9421297759794314,clone_id
30,Human 3,0.1,44479.20639147803,Human,8.468919943618227,4781,0.09893773424719939,clone_id
31,Human 3,0.2,44144.42443131223,Human,9.147362527158801,9480,0.19586689582341127,clone_id
32,Human 3,0.3,43861.84391534392,Human,9.539008098490372,14061,0.29076677779388316,clone_id
33,Human 3,0.4,43727.222945484136,Human,9.812923216512193,18520,0.3843000020706935,clone_id
34,Human 3,0.5,43666.4682304038,Human,10.022234774740697,22977,0.4743958751785973,clone_id
35,Human 3,0.6,43658.79347826087,Human,10.191326864730224,27279,0.5643053858737291,clone_id
36,Human 3,0.7,43657.941860465115,Human,10.33276095455901,31521,0.6523098585716356,clone_id
37,Human 3,0.8,43657.0,Human,10.452282603142955,35629,0.7386370695545939,clone_id
38,Human 3,0.9,43657.0,Human,10.557177910212364,39666,0.822562276106268,clone_id
39,Human 3,1.0,43657.0,Human,10.649067415603998,43657,0.9040026504876483,clone_id
40,Human 4,0.1,20185.910513141425,Human,7.626885338504896,2052,0.09935602575896964,clone_id
41,Human 4,0.2,20024.583290532442,Human,8.31307159458795,4101,0.1981794412434029,clone_id
42,Human 4,0.3,19845.517606418543,Human,8.712884651005213,6109,0.2956471214835617,clone_id
43,Human 4,0.4,19757.06976744186,Human,8.993553476865717,8091,0.3921464194063816,clone_id
44,Human 4,0.5,19739.205113636363,Human,9.21013089345728,10101,0.48830678351813295,clone_id
45,Human 4,0.6,19749.917553191488,Human,9.386972950673924,12058,0.5842250520505495,clone_id
46,Human 4,0.7,19745.0,Human,9.53521924479658,14012,0.6782549750641553,clone_id
47,Human 4,0.8,19745.0,Human,9.662751106271017,15957,0.7713165157604223,clone_id
48,Human 4,0.9,19745.0,Human,9.774522222224642,17850,0.8649590858470925,clone_id
49,Human 4,1.0,19745.0,Human,9.873764863382402,19745,0.9560354427928146,clone_id
50,Human 5,0.1,31656.509383378016,Human,8.063091831502028,3187,0.09957507967256139,clone_id
51,Human 5,0.2,30552.908294262113,Human,8.748475146817256,6326,0.19796288195963258,clone_id
52,Human 5,0.3,30284.10287577824,Human,9.146702014780239,9413,0.29519465100293696,clone_id
53,Human 5,0.4,30252.842314237096,Human,9.426476382452476,12526,0.39105167781041056,clone_id
54,Human 5,0.5,30240.801515151514,Human,9.642143343729739,15552,0.4856276948072236,clone_id
55,Human 5,0.6,30238.715133531157,Human,9.81573457947778,18589,0.580734862213335,clone_id
56,Human 5,0.7,30239.223214285714,Human,9.962735385644269,21518,0.6736549396988065,clone_id
57,Human 5,0.8,30240.25,Human,10.087972512424411,24461,0.7649503218146597,clone_id
58,Human 5,0.9,30240.0,Human,10.198696147305853,27384,0.8545585202774479,clone_id
59,Human 5,1.0,30240.0,Human,10.296331882564461,30240,0.9448228457164282,clone_id
60,Human 6,0.1,24146.335587035843,Human,7.788527887439599,2418,0.09972767783462617,clone_id
61,Human 6,0.2,23577.434294192455,Human,8.476237067850118,4802,0.19863013698630136,clone_id
62,Human 6,0.3,23447.37521158548,Human,8.877672369590847,7200,0.29662485558673046,clone_id
63,Human 6,0.4,23463.38215613383,Human,9.160283707231851,9559,0.3939181383066513,clone_id
64,Human 6,0.5,23436.322401614532,Human,9.378970693928471,11937,0.4913352038290147,clone_id
65,Human 6,0.6,23434.062248995982,Human,9.557744276138246,14256,0.5878857897342796,clone_id
66,Human 6,0.7,23436.3125,Human,9.706033268017114,16569,0.6839412444297739,clone_id
67,Human 6,0.8,23436.0,Human,9.83556341656888,18866,0.7782637398910711,clone_id
68,Human 6,0.9,23436.0,Human,9.948658923927487,21162,0.873081366562139,clone_id
69,Human 6,1.0,23436.0,Human,10.049640262425424,23436,0.9669912526819607,clone_id
70,Human 7,0.1,28308.523216206526,Human,7.977874160958917,2922,0.09930331350892098,clone_id
71,Human 7,0.2,27765.552863991925,Human,8.661690681900183,5814,0.19765505522514867,clone_id
72,Human 7,0.3,27648.615104339184,Human,9.057922249696997,8653,0.2932540356839422,clone_id
73,Human 7,0.4,27485.532953105198,Human,9.336007988985614,11468,0.389838572642311,clone_id
74,Human 7,0.5,27505.703587443946,Human,9.550070529815972,14225,0.4833984706881903,clone_id
75,Human 7,0.6,27508.25650557621,Human,9.722917044729233,16945,0.5749872557349193,clone_id
76,Human 7,0.7,27510.235294117647,Human,9.867626625855884,19645,0.667357689039932,clone_id
77,Human 7,0.8,27510.0,Human,9.991844004259967,22319,0.7579609175870858,clone_id
78,Human 7,0.9,27510.0,Human,10.100952259571823,24925,0.8465930331350892,clone_id
79,Human 7,1.0,27510.0,Human,10.197484261823508,27510,0.9349192863211555,clone_id
80,Human 8,0.1,31797.891458793812,Human,8.085043875453708,3250,0.09962319639738995,clone_id
81,Human 8,0.2,31457.649456229137,Human,8.772083066922677,6477,0.19854180069233832,clone_id
82,Human 8,0.3,31342.639299282397,Human,9.171940762417773,9655,0.29602058634316697,clone_id
83,Human 8,0.4,31329.73413474979,Human,9.45318200931602,12852,0.3934074686762859,clone_id
84,Human 8,0.5,31294.580592105263,Human,9.670858459780215,15983,0.4887418435805533,clone_id
85,Human 8,0.6,31290.64331210191,Human,9.847006591096598,19074,0.584719541708789,clone_id
86,Human 8,0.7,31289.21052631579,Human,9.996048369858133,22192,0.6793493245106148,clone_id
87,Human 8,0.8,31289.0,Human,10.1238411034374,25225,0.7731826118922893,clone_id
88,Human 8,0.9,31289.0,Human,10.235957075523032,28282,0.8665563826854149,clone_id
89,Human 8,1.0,31289.0,Human,10.335296101810268,31289,0.9585209692736575,clone_id
90,Human 9,0.1,34073.56719730599,Human,8.148683967087337,3467,0.09926797760872685,clone_id
91,Human 9,0.2,33217.42676767677,Human,8.833409403672466,6895,0.19793311324816995,clone_id
92,Human 9,0.3,33101.83510344828,Human,9.230658700634702,10283,0.29458877565666713,clone_id
93,Human 9,0.4,32963.152287761855,Human,9.510635887101685,13609,0.3902684082101335,clone_id
94,Human 9,0.5,32948.19772403983,Human,9.725560227567504,16933,0.48586192048227356,clone_id
95,Human 9,0.6,32932.78787878788,Human,9.900772101792565,20175,0.5793024257212573,clone_id
96,Human 9,0.7,32930.27777777778,Human,10.048754598358673,23453,0.672685517439357,clone_id
97,Human 9,0.8,32930.0,Human,10.173393450122267,26651,0.7648629252188891,clone_id
98,Human 9,0.9,32930.0,Human,10.283789634567954,29773,0.8558633558202957,clone_id
99,Human 9,1.0,32930.0,Human,10.381460997217772,32930,0.9453136213578298,clone_id
100,Kymouse 1,0.1,31030.382436497326,Kymouse,8.076183349220425,3237,0.09857529086545763,clone_id
101,Kymouse 1,0.2,30487.023838836038,Kymouse,8.74952132274321,6418,0.19472037425195177,clone_id
102,Kymouse 1,0.3,30336.17701081321,Kymouse,9.143736942071026,9521,0.2894680883380419,clone_id
103,Kymouse 1,0.4,30336.96984852815,Kymouse,9.412687116500681,12561,0.3818463501321425,clone_id
104,Kymouse 1,0.5,30315.05785440613,Kymouse,9.626349452676408,15628,0.47477140860901,clone_id
105,Kymouse 1,0.6,30297.727272727272,Kymouse,9.795521656249063,18570,0.5656611683222456,clone_id
106,Kymouse 1,0.7,30301.044444444444,Kymouse,9.935684812002966,21536,0.6556092226373826,clone_id
107,Kymouse 1,0.8,30301.0,Kymouse,10.059185335767673,24524,0.7451927458306753,clone_id
108,Kymouse 1,0.9,30301.0,Kymouse,10.166475947720787,27417,0.8338041860323825,clone_id
