,subject,type,neighbour,shared,key
167,Mouse 1,Mouse/Mouse,Mouse 4,4.725876573880639,cdr3_aa
168,Mouse 1,Mouse/Mouse,Mouse 5,4.7528183532921,cdr3_aa
169,Mouse 1,Kymouse/Mouse,Kymouse 1,0.4498468606431853,cdr3_aa
170,Mouse 1,Kymouse/Mouse,Kymouse 2,0.34355964938344974,cdr3_aa
171,Mouse 1,Kymouse/Mouse,Kymouse 3,0.4272974981421848,cdr3_aa
172,Mouse 1,Kymouse/Mouse,Kymouse 4,0.4108288277813305,cdr3_aa
173,Mouse 1,Kymouse/Mouse,Kymouse 5,0.5006544502617801,cdr3_aa
174,Mouse 1,Kymouse/Mouse,Kymouse 6,0.3395749127003767,cdr3_aa
175,Mouse 1,Kymouse/Mouse,Kymouse 7,0.36524626452684006,cdr3_aa
176,Mouse 2,Mouse/Mouse,Mouse 3,3.0766852195423624,cdr3_aa
177,Mouse 2,Mouse/Mouse,Mouse 4,2.0100502512562812,cdr3_aa
178,Mouse 2,Mouse/Mouse,Mouse 5,2.3113790970933827,cdr3_aa
179,Mouse 2,Kymouse/Mouse,Kymouse 1,0.17866258295048493,cdr3_aa
180,Mouse 2,Kymouse/Mouse,Kymouse 2,0.20871985157699444,cdr3_aa
181,Mouse 2,Kymouse/Mouse,Kymouse 3,0.3581735724592867,cdr3_aa
182,Mouse 2,Kymouse/Mouse,Kymouse 4,0.22418058132343846,cdr3_aa
183,Mouse 2,Kymouse/Mouse,Kymouse 5,0.18324607329842932,cdr3_aa
184,Mouse 2,Kymouse/Mouse,Kymouse 6,0.2654091939806225,cdr3_aa
185,Mouse 2,Kymouse/Mouse,Kymouse 7,0.1932591218305504,cdr3_aa
186,Mouse 3,Mouse/Mouse,Mouse 4,3.0658912540229237,cdr3_aa
187,Mouse 3,Mouse/Mouse,Mouse 5,2.890731236566215,cdr3_aa
188,Mouse 3,Kymouse/Mouse,Kymouse 1,0.2105666156202144,cdr3_aa
189,Mouse 3,Kymouse/Mouse,Kymouse 2,0.20613578963006984,cdr3_aa
190,Mouse 3,Kymouse/Mouse,Kymouse 3,0.3287725823591923,cdr3_aa
191,Mouse 3,Kymouse/Mouse,Kymouse 4,0.24417185047380965,cdr3_aa
192,Mouse 3,Kymouse/Mouse,Kymouse 5,0.2617801047120419,cdr3_aa
193,Mouse 3,Kymouse/Mouse,Kymouse 6,0.24076780021253988,cdr3_aa
194,Mouse 3,Kymouse/Mouse,Kymouse 7,0.18262313226342003,cdr3_aa
195,Mouse 4,Mouse/Mouse,Mouse 5,2.4222234769352378,cdr3_aa
196,Mouse 4,Kymouse/Mouse,Kymouse 1,0.17503246569928294,cdr3_aa
197,Mouse 4,Kymouse/Mouse,Kymouse 2,0.18067867427022755,cdr3_aa
198,Mouse 4,Kymouse/Mouse,Kymouse 3,0.33877251425667665,cdr3_aa
199,Mouse 4,Kymouse/Mouse,Kymouse 4,0.22020213426683982,cdr3_aa
200,Mouse 4,Kymouse/Mouse,Kymouse 5,0.1637400485573937,cdr3_aa
201,Mouse 4,Kymouse/Mouse,Kymouse 6,0.27666421997628593,cdr3_aa
202,Mouse 4,Kymouse/Mouse,Kymouse 7,0.23714075997967365,cdr3_aa
203,Mouse 5,Kymouse/Mouse,Kymouse 1,0.2169474221541603,cdr3_aa
204,Mouse 5,Kymouse/Mouse,Kymouse 2,0.19739439399921044,cdr3_aa
205,Mouse 5,Kymouse/Mouse,Kymouse 3,0.3684695354651928,cdr3_aa
206,Mouse 5,Kymouse/Mouse,Kymouse 4,0.19300785191033906,cdr3_aa
207,Mouse 5,Kymouse/Mouse,Kymouse 5,0.20287958115183247,cdr3_aa
208,Mouse 5,Kymouse/Mouse,Kymouse 6,0.25880598324340925,cdr3_aa
209,Mouse 5,Kymouse/Mouse,Kymouse 7,0.14036934684388297,cdr3_aa
210,Kymouse 1,Kymouse/Kymouse,Kymouse 2,4.51761102603369,cdr3_aa
211,Kymouse 1,Kymouse/Kymouse,Kymouse 3,7.682491066870853,cdr3_aa
212,Kymouse 1,Kymouse/Kymouse,Kymouse 4,4.948315467075038,cdr3_aa
213,Kymouse 1,Kymouse/Kymouse,Kymouse 5,3.8972513089005236,cdr3_aa
214,Kymouse 1,Kymouse/Kymouse,Kymouse 6,5.9788157223073,cdr3_aa
215,Kymouse 1,Kymouse/Kymouse,Kymouse 7,4.782414497192445,cdr3_aa
216,Kymouse 2,Kymouse/Kymouse,Kymouse 3,5.495097310949339,cdr3_aa
217,Kymouse 2,Kymouse/Kymouse,Kymouse 4,3.5753735247950704,cdr3_aa
218,Kymouse 2,Kymouse/Kymouse,Kymouse 5,4.339005235602094,cdr3_aa
219,Kymouse 2,Kymouse/Kymouse,Kymouse 6,4.219283910265934,cdr3_aa
220,Kymouse 2,Kymouse/Kymouse,Kymouse 7,3.54516416580003,cdr3_aa
221,Kymouse 3,Kymouse/Kymouse,Kymouse 4,6.160494544890801,cdr3_aa
222,Kymouse 3,Kymouse/Kymouse,Kymouse 5,7.261125654450263,cdr3_aa
223,Kymouse 3,Kymouse/Kymouse,Kymouse 6,5.812642635211306,cdr3_aa
224,Kymouse 3,Kymouse/Kymouse,Kymouse 7,5.808891348459694,cdr3_aa
225,Kymouse 4,Kymouse/Kymouse,Kymouse 5,4.983638743455497,cdr3_aa
226,Kymouse 4,Kymouse/Kymouse,Kymouse 6,5.0345910121504565,cdr3_aa
227,Kymouse 4,Kymouse/Kymouse,Kymouse 7,3.7439683739317484,cdr3_aa
228,Kymouse 5,Kymouse/Kymouse,Kymouse 6,6.043848167539267,cdr3_aa
